,Unnamed: 0,Cd,name,num_Movie,filmos,num_Movie_edited,difference
128,128,20234807,여민정,13,"['극장판 레이디버그: 미라클스톤의 비밀', '명탐정 코난:감벽의 관', '신비아파트: 금빛 도깨비와 비밀의 동굴', '극장판 요괴워치 섀도사이드: 도깨비왕의 부활', '극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~', '극장판 공룡메카드: 타이니소어의 섬', '극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!', '마이 리틀 포니: 레인보우 로드 트립', '극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들', '클리포드 더 빅 레드 독', '극장판 안녕 자두야: 제주도의 비밀', '신비아파트 극장판 차원도깨비와 7개의 세계', '핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전']",13,0
129,129,20113125,남도형,16,"['극장판 레이디버그: 미라클스톤의 비밀', '신데렐라:마법 반지의 비밀', '뽀로로 극장판 보물섬 대모험', '뽀로로 극장판 보물섬 대모험', '극장판 엉덩이 탐정: 화려한 사건 수첩', '오션스: 문어구출대작전', '체크 히어로', '눈의 여왕4', '하이큐!! 땅 VS 하늘', '더 프린세스 : 도둑맞은 공주', '매지컬: 공주를 웃겨라', '극장판 엉덩이 탐정: 텐텐마을의 수수께끼', '극장판 미니특공대: 햄버거괴물의 습격', '극장판 미니특공대: 햄버거괴물의 습격', '극장판 미니특공대: 햄버거괴물의 습격', '고고다이노 극장판: 얼음공룡의 비밀']",13,3
130,130,10004060,김명민,3,"['조선명탐정: 흡혈괴마의 비밀', '물괴', '장사리 : 잊혀진 영웅들']",3,0
131,131,10050151,오달수,3,"['조선명탐정: 흡혈괴마의 비밀', '이웃사촌', '니 부모 얼굴이 보고 싶다']",3,0
132,132,20112261,김지원,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
133,133,10004252,김범,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
134,134,10055447,이민기,2,"['조선명탐정: 흡혈괴마의 비밀', '데시벨']",2,0
135,135,20280389,지웅배,9,"['조선명탐정: 흡혈괴마의 비밀', '흥부: 글로 세상을 바꾼 자', '나랏말싸미', '봉오동 전투', '강철비2: 정상회담', '검객', '세자매', '장르만 로맨스', '비상선언']",9,0
136,136,20313545,이대현,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
137,137,20223848,이소희,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
138,138,20314188,백승진,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
139,139,20290399,이정민,4,"['조선명탐정: 흡혈괴마의 비밀', '창궐', '창궐', '걸캅스']",3,1
140,140,10005634,김정화,2,"['조선명탐정: 흡혈괴마의 비밀', '여중생A']",2,0
141,141,20314348,서지은,3,"['조선명탐정: 흡혈괴마의 비밀', '배반의 장미', '창궐']",3,0
142,142,20198386,김태윤,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
143,143,20315231,김태희,4,"['조선명탐정: 흡혈괴마의 비밀', '창궐', '한산: 용의 출현', '한산 리덕스']",4,0
144,144,20315359,김현주,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
145,145,20316274,박동석,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
146,146,20316666,전현우,2,"['조선명탐정: 흡혈괴마의 비밀', '흥부: 글로 세상을 바꾼 자']",2,0
147,147,20150045,김태호,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
148,148,20218684,박지현,2,"['조선명탐정: 흡혈괴마의 비밀', '명당']",2,0
149,149,20317813,김건,9,"['조선명탐정: 흡혈괴마의 비밀', '골든슬럼버', '바람 바람 바람', '챔피언', '해피 투게더', '내안의 그놈', '악인전', '기생충', '히트맨']",9,0
150,150,20318099,최유진,2,"['조선명탐정: 흡혈괴마의 비밀', '기묘한 가족']",2,0
151,151,20131375,김미란,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
152,152,20163428,김영우,2,"['조선명탐정: 흡혈괴마의 비밀', '정직한 후보']",2,0
153,153,20319144,김영진,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
154,154,20328694,한성희,2,"['조선명탐정: 흡혈괴마의 비밀', '창궐']",2,0
155,155,20232301,염동헌,4,"['조선명탐정: 흡혈괴마의 비밀', '배심원들', '액션히어로', '컴백홈']",4,0
156,156,20327192,송훈,5,"['조선명탐정: 흡혈괴마의 비밀', '창궐', '미스터 주: 사라진 VIP', '비상선언', '탄생']",5,0
157,157,20335697,강덕중,18,"['조선명탐정: 흡혈괴마의 비밀', '염력', '공작', '너의 결혼식', '마약왕', '자전차왕 엄복동', '돈', '엑시트', '두번할까요', '시동', '죽지않는 인간들의 밤', '인질', '범죄도시2', '한산: 용의 출현', '공조2: 인터내셔날', '올빼미', '한산 리덕스', '탄생']",18,0
158,158,20341038,조한준,8,"['조선명탐정: 흡혈괴마의 비밀', '창궐', '사바하', '시동', '해치지않아', '미스터 주: 사라진 VIP', '미스터 주: 사라진 VIP', '#살아있다']",7,1
159,159,20221830,윤상훈,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
160,160,20365060,장유화,5,"['조선명탐정: 흡혈괴마의 비밀', '창궐', '점박이 한반도의 공룡2 : 새로운 낙원', '두번할까요', '앵커']",5,0
161,161,20133847,현우,1,['조선명탐정: 흡혈괴마의 비밀'],1,0
162,162,20354118,이우룡,2,"['염력', '봄날']",2,0
163,163,10019065,류승룡,6,"['염력', '7년의 밤', '극한직업', '자산어보', '장르만 로맨스', '인생은 아름다워']",6,0
164,164,10040874,심은경,3,"['염력', '궁합', '블루 아워']",3,0
165,165,10004210,김민재,15,"['염력', '당신의 부탁', '성난황소', '돈', '악질경찰', '생일', '시동', '반도', '최선의 삶', '최선의 삶', '당신은 믿지 않겠지만', '뒤틀린 집', '한산: 용의 출현', '미혹', '한산 리덕스']",14,1
166,166,10062071,정유미,3,"['염력', '82년생 김지영', '부산행:익스텐디드']",3,0
167,167,20299151,이승용,3,"['염력', '82년생 김지영', '고속도로 가족']",3,0
