,Cd,name,num_Movie,filmos
102,20254941,이윤혁,1,['1급기밀']
103,20314910,신윤정,2,"['1급기밀', '정직한 후보2']"
104,20315031,김태민,1,['1급기밀']
105,20315935,유영호,1,['1급기밀']
106,20317669,최보연,1,['1급기밀']
107,20196427,김민정,1,['1급기밀']
108,20318953,김성진,1,['1급기밀']
109,20165223,김우진,3,"['1급기밀', '골든슬럼버', '인랑']"
110,10004180,김민기,1,['1급기밀']
111,20143709,권태원,2,"['1급기밀', '마녀']"
112,20375411,김성민,1,['1급기밀']
113,10029093,박인환,4,"['비밥바룰라', '기묘한 가족', '엑시트', '킹메이커']"
114,10040262,신구,2,"['비밥바룰라', '천문: 하늘에 묻는다']"
115,10058908,임현식,1,['비밥바룰라']
116,20289229,윤덕용,2,"['비밥바룰라', '세자매']"
117,10005410,김인권,7,"['비밥바룰라', '물괴', '배반의 장미', '다시, 봄', '장사리 : 잊혀진 영웅들', '방법: 재차의', '올빼미']"
118,10057698,이채은,5,"['비밥바룰라', '증인', '어쩌다, 결혼', '가장 보통의 연애', '야구소녀']"
119,10057015,이나라,5,"['비밥바룰라', '살인소설', '어린 의뢰인', '블랙머니', '니 부모 얼굴이 보고 싶다']"
120,10072327,최선자,4,"['비밥바룰라', '니 부모 얼굴이 보고 싶다', '룸 쉐어링', '헤어질 결심']"
121,10035845,성병숙,7,"['비밥바룰라', '덕구', '가장 보통의 연애', '블랙머니', '더 박스', '스텔라', '공기살인']"
122,20315340,양서연,1,['비밥바룰라']
123,20315853,류현,1,['비밥바룰라']
124,20134142,조용진,3,"['비밥바룰라', '완벽한 타인', '말모이']"
125,20123425,강민지,12,"['비밥바룰라', '리틀 포레스트', '바람 바람 바람', '공작', '증인', '사바하', '유열의 음악앨범', '카센타', '소리꾼', '디바', '담보', '특송']"
126,20322111,강길우,5,"['비밥바룰라', '스윙키즈', '정말 먼 곳', '브로커', '뒤틀린 집']"
127,20378994,김창섭,1,['비밥바룰라']
128,20234807,여민정,13,"['극장판 레이디버그: 미라클스톤의 비밀', '명탐정 코난:감벽의 관', '신비아파트: 금빛 도깨비와 비밀의 동굴', '극장판 요괴워치 섀도사이드: 도깨비왕의 부활', '극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~', '극장판 공룡메카드: 타이니소어의 섬', '극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!', '마이 리틀 포니: 레인보우 로드 트립', '극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들', '클리포드 더 빅 레드 독', '극장판 안녕 자두야: 제주도의 비밀', '신비아파트 극장판 차원도깨비와 7개의 세계', '핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전']"
129,20113125,남도형,16,"['극장판 레이디버그: 미라클스톤의 비밀', '신데렐라:마법 반지의 비밀', '뽀로로 극장판 보물섬 대모험', '뽀로로 극장판 보물섬 대모험', '극장판 엉덩이 탐정: 화려한 사건 수첩', '오션스: 문어구출대작전', '체크 히어로', '눈의 여왕4', '하이큐!! 땅 VS 하늘', '더 프린세스 : 도둑맞은 공주', '매지컬: 공주를 웃겨라', '극장판 엉덩이 탐정: 텐텐마을의 수수께끼', '극장판 미니특공대: 햄버거괴물의 습격', '극장판 미니특공대: 햄버거괴물의 습격', '극장판 미니특공대: 햄버거괴물의 습격', '고고다이노 극장판: 얼음공룡의 비밀']"
130,10004060,김명민,3,"['조선명탐정: 흡혈괴마의 비밀', '물괴', '장사리 : 잊혀진 영웅들']"
131,10050151,오달수,3,"['조선명탐정: 흡혈괴마의 비밀', '이웃사촌', '니 부모 얼굴이 보고 싶다']"
132,20112261,김지원,1,['조선명탐정: 흡혈괴마의 비밀']
133,10004252,김범,1,['조선명탐정: 흡혈괴마의 비밀']
134,10055447,이민기,2,"['조선명탐정: 흡혈괴마의 비밀', '데시벨']"
135,20280389,지웅배,9,"['조선명탐정: 흡혈괴마의 비밀', '흥부: 글로 세상을 바꾼 자', '나랏말싸미', '봉오동 전투', '강철비2: 정상회담', '검객', '세자매', '장르만 로맨스', '비상선언']"
136,20313545,이대현,1,['조선명탐정: 흡혈괴마의 비밀']
137,20223848,이소희,1,['조선명탐정: 흡혈괴마의 비밀']
138,20314188,백승진,1,['조선명탐정: 흡혈괴마의 비밀']
139,20290399,이정민,4,"['조선명탐정: 흡혈괴마의 비밀', '창궐', '창궐', '걸캅스']"
140,10005634,김정화,2,"['조선명탐정: 흡혈괴마의 비밀', '여중생A']"
141,20314348,서지은,3,"['조선명탐정: 흡혈괴마의 비밀', '배반의 장미', '창궐']"
142,20198386,김태윤,1,['조선명탐정: 흡혈괴마의 비밀']
143,20315231,김태희,4,"['조선명탐정: 흡혈괴마의 비밀', '창궐', '한산: 용의 출현', '한산 리덕스']"
144,20315359,김현주,1,['조선명탐정: 흡혈괴마의 비밀']
145,20316274,박동석,1,['조선명탐정: 흡혈괴마의 비밀']
146,20316666,전현우,2,"['조선명탐정: 흡혈괴마의 비밀', '흥부: 글로 세상을 바꾼 자']"
147,20150045,김태호,1,['조선명탐정: 흡혈괴마의 비밀']
148,20218684,박지현,2,"['조선명탐정: 흡혈괴마의 비밀', '명당']"
