"","peopleNm","max_audiAcc","mean_audiAcc"
"410","사준의",95133,95133
"411","사카키바라 모토노리",86080,86080
"412","사토 신스케",4393,4055
"413","샘 레빈",90577,90577
"414","샘 레이미",716931,716931
"415","샘 멘데스",860622,860622
"416","샤모",5394,5394
"417","서동일",968,968
"418","서럽 밴 오먼",66351,66351
"419","서유민",96415,96415
"420","서은영",8670,4734
"421","서정희",538,538
"422","서태수",6303,6303
"423","세드릭 클래피쉬",6813,6813
"424","세르지오 델피노",9052,9052
"425","세르지오 맨피오",63774,63774
"426","셀린 시아마",95398,24462.8
"427","션 베이커",50720,50720
"428","션 헤이더",74880,74880
"429","소륜",1398,1398
"430","소준문",920,920
"431","소토자키 하루오",979624,177663.333333333
"432","소피 드라스프",7217,7217
"433","손석우",98404,98404
"434","손용호",712124,712124
"435","손원평",98873,98873
"436","손재곤",997544,997544
"437","송경용",9888,9888
"438","송상민",6916,6916
"439","송요한",6596,6596
"440","송운",4414,4414
"441","송원근",66240,66240
"442","송정율",9224,7910
"443","송창용",9888,9888
"444","수잔나 포겔",85803,85803
"445","순 하이펑",2894,2894
"446","쉐인 블랙",75968,75968
"447","스도 토모노리",9736,8515.5
"448","스벤 운터발트 주니어",11022,11022
"449","스에자와 케이",1869,1869
"450","스콧 데릭슨",97650,97650
"451","스콧 만",79599,79599
"452","스콧 모시어",55581,55581
"453","스콧 무어",9092,9092
"454","스콧 스피어",89972,89972
"455","스콧 쿠퍼",9536,9536
"456","스탠리 투치",9778,9778
"457","스테파노 솔리마",85729,85729
"458","스티븐 S. 드나이트",996569,996569
"459","스티븐 개건",929622,929622
"460","스티븐 바우터루드",6696,6696
"461","스티븐 소더버그",6946,6946
"462","스티븐 쉬블",3082,3082
"463","스티븐 스필버그",986709,395031.666666667
"464","스티븐 크보스키",98365,98365
"465","시멘 알스빅",12245,12245
"466","시미즈 준지",8602,8602
"467","시바타 히로키",7739,7739
"468","시즈노 코분",92019,92019
"469","신보 아키유키",8556,8556
"470","신상민",8535,8535
"471","신수원",8390,4871.5
"472","신연식",9756,9756
"473","신우",69761,57972
"474","신재호",86552,86552
"475","신정원",94276,94276
"476","신준영",9232,9232
"477","신창환",8573,8573
"478","신카이 마코토",9824,9824
"479","심덕근",921,921
"480","심재희",7144,7144
"481","아그네츠카 홀란드",825,825
"482","아나 로샤",3085,3085
"483","아녜스 바르다",5966,5966
"484","아니쉬 차간티",967947,522053
"485","아담 랜달",8323,8323
"486","아담 맥케이",99042,84415.5
"487","아담 윈가드",80023,80023
"488","아딜 엘 아르비",62608,62608
"489","아라이 카즈토",936,936
"490","아론 우들리",26704,26704
"491","아르나드 부롱",18305,18305
"492","아르니 올라푸르 아스게이르손",23887,23887
"493","아리 산델",5404,5404
"494","아리 애스터",90525,76044.5
"495","아비 콘",80847,80847
"496","아시프 카파디아",4192,4192
"497","아이리스 심",8433,8433
"498","아틀 솔버그 블락세트",850,850
"499","안노 히데아키",6517,6517
"500","안드레스 무시에티",58979,58979
"501","안드레스 코투리어",9043,9043
"502","안드레아 블록",8611,8611
"503","안소니 루소",9843480,6345521.66666667
"504","안소니 파비안",4204,4204
"505","안재훈",4520,4520
"506","안태진",989649,989649
"507","안토닌 보드리",6209,6209
"508","안톤 메거딕체브",3986,3986
"509","안톤 크링스",18305,18305
"510","알렉산더 아야",87149,87149
"511","알렉산더 페인",96132,96132
"512","알렉상드르 아스티에",10707,10707
"513","알렉세이 트시칠린",95172,88929
"514","알렉스 가랜드",10014,10014
"515","알렉스 스타더만",9192,9192
"516","알리 아바시",1966,1966
"517","알트욤 루키체프",6149,6149
"518","알폰소 고메즈-레존",59757,59757
"519","애너 보든",774452,774452
"520","애덤 로비텔",545363,234910.333333333
"521","애드리언 그런버그",90419,90419
"522","애론 우들리",26704,26704
"523","애슐리 해밀턴",4872,4872
"524","앤더스 마테센",7643,7643
"525","앤더스 토머스 옌센",4872,4872
"526","앤드류 어윈",28932,14621
"527","앤드류 존스",4750,4750
"528","앤드류 코헨",8838,8838
"529","앤드류 하얏트",93002,93002
"530","앤디 서키스",21775,11324.5
"531","앤소니 마라스",9359,9359
"532","앨리스 블레하트",4086,4086
"533","앨버트 반 스트리엔",4681,4681
"534","앵거스 맥클레인",69021,69021
"535","야기 류이치",81299,81299
"536","야누스 메츠",3062,3062
"537","야마구치 스스무",9647,9647
"538","야마구치 히카루",905,905
"539","야마다 나오코",8679,8679
"540","야마모토 야스이치로",93476,80141
"541","야마모토 키요시",550,550
"542","야마자키 타카시",1130,1130
"543","야지마 테츠오",94476,90736.5
"544","야쿱 론스키",24559,24559
"545","양우석",788587,402640
"546","양정웅",98847,98847
"547","양종현",1131,1131
"548","어텀 드 와일드",3902,3902
"549","엄유나",860595,860595
"550","엄준영",1800,1800
"551","에드가 라이트",38443,38443
"552","에드워드 양",1971,1365
"553","에릭 라티고",8512,8512
"554","에릭 브레스",7038,7038
"555","에릭 토레다노",3051,3051
"556","에릭 토스티",33086,33086
"557","에반 트라멜",6247,6247
"558","엔리코 카사로사",84510,84510
"559","엠마누엘 산도발",62077,62077
"560","연상호",985307,610121.333333333
"561","엽위신",67975,67975
"562","예고르 바라노프",1619,1619
"563","오드리 디완",4635,4635
"564","오성윤",9639,9639
"565","오세연",5725,5725
"566","오오모리 타카히로",7962,7962
"567","오원재",2223,2223
"568","오윤동",52940,13079.25
"569","오즈 퍼킨스",9049,9049
"570","오카다 마리",8151,8151
"571","오토 바서스트",89741,89741
"572","옥타비오 E. 로드리게즈",98643,98643
"573","올 파커",963007,506173.5
"574","올더디센 하노",2431,2431
"575","올레말라므",5647,5647
"576","올리버 달리",8690,8690
"577","올리비아 뉴먼",10639,10639
"578","올리비아 와일드",9435,9435
"579","올리비에르 나카체",3051,3051
"580","요르겐 레르담",89577,89577
"581","요르고스 란티모스",96005,51961
"582","요아킴 뢰닝",864673,864673
"583","요아킴 트리에",5926,5926
"584","요정정",1364,1364
"585","요하네스 로버츠",82419,44530
"586","용수",98759,98759
"587","우디 앨런",81008,81008
"588","우메츠 토모미",11574,10623
"589","우민호",938593,765600
"590","우베르토 파솔리니",573,573
"591","우시로 신지",87949,87949
"592","우시지마 신이치로",41594,41594
"593","우에다 신이치로",2922,2922
"594","우테 폰 뮌쇼폴",8744,8744
"595","울프강 라우엔슈타인",9970,7787.5
"596","워시 웨스트모어랜드",8701,8701
"597","원금린",1355,1355
"598","원신연",926769,926769
"599","원종식",8125,8125
"600","원호연",6034,6034
"601","월트 도른",99410,99410
"602","월트 벡커",8655,8655
"603","웨스 볼",944956,944956
"604","웨스 앤더슨",85651,51884.5
"605","위고 젤랭",83522,83522
"606","위르겐 플림",16223,16223
"607","위타야 통유용",2106,2106
"608","윌 글럭",61793,61793
"609","윌 베처",9204,9204
"610","윌리엄 니콜슨",7695,7695
"611","윌리엄 브렌트 벨",76360,76360
"612","윌리엄 유뱅크",9686,9686
"613","유발 애들러",381,381
"614","유선동",85289,85289
"615","유아사 마사아키",8811,8811
"616","유야마 쿠니히코",577402,248771
"617","유영선",64204,64204
"618","유재운",89444,89444
"619","유하",96311,96311
"620","육상효",976585,976585
"621","윤가은",7789,7789
"622","윤단비",9934,9934
"623","윤성준",9020,9020
"624","윤영빈",87150,87150
"625","윤은경",7167,7167
"626","윤재근",815149,815149
"627","윤제균",967483,967483
"628","윤제완",76980,76980
"629","윤종빈",960657,960657
"630","윤종석",80443,80443
"631","윤준상",8471,8471
"632","윤창모",1131,1131
"633","윤창섭",752508,752508
"634","음정현",1790,1790
"635","이가라시 타쿠야",5624,5624
"636","이경섭",84137,84137
"637","이계벽",990632,990632
"638","이권",969018,969018
"639","이규만",69228,69228
"640","이나 예블라니코바",19771,11738
"641","이대희",5934,5934
"642","이돈구",7111,7111
"643","이동은",22606,22606
"644","이라 카르페란",24559,24559
"645","이란희",3975,3975
"646","이마이 카즈아키",90373,75895
"647","이마이즈미 리키야",940,940
"648","이미영",91548,91548
"649","이민재",93929,93929
"650","이병헌",9400660,5176325.5
"651","이상근",9407840,9407840
"652","이상문",7933,7933
"653","이상용",9833026,9833026
"654","이상헌",2515,2515
"655","이상호",9512,9512
"656","이석근",9302,9302
"657","이석훈",7847,7847
"658","이선명",72672,39852.5
"659","이성강",9426,9426
"660","이성재",41206,41206
"661","이성태",71138,71138
"662","이성한",714,714
"663","이수정",4753,4753
"664","이수진",9506,9506
"665","이순성",8495,8495
"666","이슬기",93037,93037
"667","이승수",4246,4246
"668","이승원",77926,77926
"669","이승준",72082,45833.6666666667
"670","이시다 히로야스",9997,9997
"671","이시다테 타이치",9344,9344
"672","이시이 유야",2565,2565
"673","이시하라 타츠야",5536,5536
"674","이안",8170,8170
"675","이언희",8193,8193
"676","이연우",7716,7716
"677","이영준",95562,52165
"678","이예지",52940,52940
"679","이와이 슌지",8165,8165
"680","이용남",1790,1790
"681","이용주",82893,82893
"682","이우정",6590,6590
"683","이원태",584509,584509
"684","이인의",2141,2141
"685","이일하",2805,2805
"686","이일형",97771,97771
"687","이장훈",980797,536600
"688","이재규",739563,739563
"689","이정곤",7447,7447
"690","이정국",8584,8584
"691","이정범",92908,92908
"692","이정재",846,846
"693","이정호",90488,90488
"694","이제한",3161,3161
"695","이조훈",810,810
"696","이종석",847145,847145
"697","이종언",99444,99444
"698","이종필",972620,972620
"699","이준익",71075,39428
"700","이지나",9558,9558
"701","이지원",715194,366037.5
"702","이진호",1517,1517
"703","이창근",60426,60426
"704","이창동",57189,57189
"705","이창원",8845,8845
"706","이창희",906912,906912
"707","이철하",962606,962606
"708","이춘백",9639,9639
"709","이치엔",7174,7174
"710","이태겸",8465,8465
"711","이토 히데키",7962,7962
"712","이한",9962,9962
"713","이한욱",75734,75734
"714","이한종",53214,53214
"715","이해영",922922,503254
"716","이해준",882485,882485
"717","이혁래",1495,1495
"718","이호경",79000,79000
"719","이환",6930,6930
"720","이환경",9680,9680
"721","일라이 로스",78613,78613
"722","일래인 보겐",9187,9187
"723","일리야 나이슐러",93341,93341
"724","임경택",92774,92774
"725","임대형",97085,97085
"726","임성관",676,676
"727","임순례",909273,909273
"728","임준현",4609,4609
"729","임진순",99455,79241.5
"730","임효겸",9091,9091
"731","자레드 부시",97292,97292
"732","자레드 스턴",90577,90577
"733","자비에 돌란",2435,2435
"734","자움 콜렛 세라",777888,308984.666666667
"735","자코 아키후미",85720,85720
"736","장-프랑소와 리셰",766,766
"737","장 피에르 다르덴",834,834
"738","장 필립 바인",98643,98643
"739","장규성",8024,8024
"740","장률",3523,3523
"741","장양",9929,9929
"742","장영주",7100,7100
"743","장예모",2021,2021
"744","장유정",897345,453560
"745","장재일",605,605
"746","장재현",862839,862839
"747","장적사",7615,7615
"748","장철수",77649,77649
"749","저스틴 린",892129,892129
"750","저스틴 밸도니",80608,80608
"751","전계수",9742,9742
"752","전고운",5794,5794
"753","전수경",93702,93702
"754","전우성",2073,2073
"755","전재홍",8565,8565
"756","정가영",99328,99328
"757","정관조",6739,6739
"758","정길훈",97556,97556
"759","정다원",926765,926765
"760","정량",5006,5006
"761","정미화",5272,5272
"762","정범식",993544,993544
