"","companyNm","Freq"
"552","주식회사 풍경소리",10
"553","주식회사 플러스미디어엔터테인먼트",1
"554","주식회사씨앤에스트레이드",1
"555","㈜에스비에스",1
"556","㈜에스에이치엔터앤컴퍼니",1
"557","㈜영화사 백두대간",1
"558","㈜인디스토리",6
"559","㈜코리아스크린",3
"560","㈜형설앤",1
"561","㈜희원엔터테인먼트",1
"562","찬란",30
"563","창작집단3355 (A.3355)",1
"564","청년필름(주)",2
"565","초코필름",1
"566","캐피탈원(주)",4
"567","커넥트픽쳐스(주)",3
"568","케이필름",1
"569","콘텐츠웨이브(주)",4
"570","클라이맥스 스튜디오(주)",2
"571","타임와이즈인베스트먼트(주)",2
"572","터너코리아 유한회사",1
"573","트웰브져니(주)",1
"574","트윈플러스파트너스(주)",6
"575","파라마운트 픽쳐스",12
"576","파랑필름",1
"577","파이오니아21",1
"578","파인하우스필름(주)",2
"579","판씨네마(주)",30
"580","팔팔애비뉴(주)",2
"581","퍼레이드 픽쳐스",1
"582","평등하고 공정한나라 노회찬재단",1
"583","포레스트",1
"584","프로젝트 부 ",1
"585","프로파간다",7
"586","플라잉타이거픽처스",1
"587","플랜 비 엔터테인먼트",1
"588","플러스엠 엔터테인먼트",34
"589","플레이리스트(주)",5
"590","픽사 애니메이션 스튜디오",1
"591","필름다빈",2
"592","필름에이픽쳐스",2
"593","필립 스튜디오",1
"594","한국교육방송공사 EBS",2
"595","한국문화예술위원회",1
"596","한국영상대학교",1
"597","한국영화아카데미",7
"598","한국예술종합학교 산학협력단",1
"599","한국콘텐츠진흥원",1
"600","한국탐사저널리즘센터",1
"601","해랑사",1
"602","호두앤유픽쳐스(주)",1
"603","홀리가든",1
"604","환타지엔터테인먼트",1
"605","힘컨텐츠(주)",2
