"","peopleNm","Freq"
"990","팀 밀러",1
"991","팀 버튼",1
"992","팀 스토리",1
"993","팀 힐",1
"994","파벨 파블리코브스키",1
"995","파블로 라라인",1
"996","파커 핀",1
"997","파코 카베자스",1
"998","팍품 웡품",1
"999","패트릭 휴즈",2
"1000","팻티 젠킨스",1
"1001","페드 알바레즈",1
"1002","페드로 알모도바르",2
"1003","페이튼 리드",1
"1004","펠릭스 반 그뢰닝엔",1
"1005","폴 W.S. 앤더슨",1
"1006","폴 킹",1
"1007","폴 토마스 앤더슨",1
"1008","폴 페이그",2
"1009","표도르 본다르추크",1
"1010","프란 크랜즈",1
"1011","프란시스 로렌스",1
"1012","프란시스 포드 코폴라",1
"1013","프랑수아 오종",1
"1014","프랭크 모스볼드",1
"1015","프랭키 첸",1
"1016","플로리안 젤러",1
"1017","피에르 모렐",1
"1018","피에르 페리펠",1
"1019","피에르 프랑소와 마틴 라발",1
"1020","피에트로 마르첼로",1
"1021","피터 램지",1
"1022","피터 레페니오티스",1
"1023","피터 버그",1
"1024","피터 시걸",1
"1025","피터 패럴리",1
"1026","피터 허칭스",1
"1027","피터 헤지스",1
"1028","피트 닥터",1
"1029","필감성",1
"1030","필리프 라슈",1
"1031","필리프 팔라도",1
"1032","필립 귀엔",1
"1033","필립 립스키",1
"1034","필립파 로소프",1
"1035","하나부사 츠토무",1
"1036","하디 모하메디안",1
"1037","하마구치 류스케",2
"1038","하비에르 페서",1
"1039","하시모토 마사카즈",1
"1040","하시모토 하지메",1
"1041","하시모토 히로유키",1
"1042","하우메 발라게로",1
"1043","하원준",1
"1044","하윤재",1
"1045","하코타 유코",1
"1046","한상호",1
"1047","한스 페터 몰란트",1
"1048","한승우",1
"1049","한재림",1
"1050","한준희",1
"1051","한톈",1
"1052","한현석",1
"1053","허버트 베일란드",1
"1054","허인무",1
"1055","허종호",1
"1056","허준형",1
"1057","허진호",1
"1058","헤 질리",2
"1059","헬레네 지라드",1
"1060","호세 젤라다",1
"1061","호소다 마모루",2
"1062","홍기선",1
"1063","홍상수",4
"1064","홍석구",1
"1065","홍성은",1
"1066","홍성호",1
"1067","홍승완",1
"1068","홍원기",1
"1069","홍원찬",2
"1070","홍은미",1
"1071","홍의정",1
"1072","홍준표",1
"1073","홍지영",1
"1074","홍창표",1
"1075","홍태선",1
"1076","홍헌표",1
"1077","황승재",1
"1078","황인호",1
"1079","황천인",1
"1080","후안 안토니오 바요나",1
"1081","후지타 하루카",1
"1082","히라야마 미호",1
"1083","히라카와 유이치로",1
"1084","히로 타카시마",1
"1085","히로키 류이치",1
"1086","히시다 마사카즈",5
