,movie,score,audience,score_edited,aud_edited,avg score,avg aud
706,['missing data'],['missing data'],['missing data'],0,0,0.0,0.0
707,['엘리미네이터'],['missing data'],['missing data'],0,0,0.0,0.0
708,['미니특공대X'],['7.91'],['10만명'],[7.91],[100000.0],7.91,100000.0
709,['귀멸의 칼날: 주합회의·나비저택 편'],['7.90'],['2.7만명'],[7.9],[27000.0],7.9,27000.0
710,['더 보이 2: 돌아온 브람스'],['4.72'],['2.6만명'],[4.72],[26000.0],4.72,26000.0
711,"['엔칸토: 마법의 세계', '주토피아']","['7.83', '9.33']","['63만명', '470만명']","[7.83, 9.33]","[630000.0, 4700000.0]",8.58,2665000.0
712,['우먼 인 블랙: 죽음의 천사'],['6.71'],"['9,486명']",[6.71],[9486.0],6.71,9486.0
713,['고발(가제)'],['missing data'],['missing data'],0,0,0.0,0.0
714,['트롤'],['8.81'],['67만명'],[8.81],[670000.0],8.81,670000.0
715,['색다른 그녀'],['5.29'],"['2,605명']",[5.29],[2605.0],5.29,2605.0
716,['해피 데스데이'],['1.75'],['1명'],[1.75],[1.0],1.75,1.0
717,['웜 바디스'],['8.54'],['116만명'],[8.54],[1160000.0],8.54,1160000.0
718,['우먼 인 할리우드'],['9.50'],"['9,920명']",[9.5],[9920.0],9.5,9920.0
719,['럭키'],['8.76'],['697만명'],[8.76],[6970000.0],8.76,6970000.0
720,['내사랑 한옥마을'],['missing data'],['missing data'],0,0,0.0,0.0
721,['라스트 레터'],['8.35'],['1.2만명'],[8.35],[12000.0],8.35,12000.0
722,['심장이 뛴다'],['7.53'],['102만명'],[7.53],[1020000.0],7.53,1020000.0
723,['<퇴근길 영화관> ‘퇴근길 단편선’ GV'],['missing data'],['missing data'],0,0,0.0,0.0
724,['브레이크 더 사일런스: 더 무비'],['9.30'],['13만명'],[9.3],[130000.0],9.3,130000.0
725,['테넷'],['8.73'],['200만명'],[8.73],[2000000.0],8.73,2000000.0
726,['인디스데이 10월 단편'],['missing data'],['missing data'],0,0,0.0,0.0
727,['최선의 삶'],['missing data'],['missing data'],0,0,0.0,0.0
728,[],0,0,0,0,0.0,0.0
729,[],0,0,0,0,0.0,0.0
730,['우리 사랑하는 동안'],['6.98'],['405명'],[6.98],[405.0],6.98,405.0
731,['시크릿'],['7.93'],"['1,330명']",[7.93],[1330.0],7.93,1330.0
732,['가재가 노래하는 곳'],['8.19'],['1.4만명'],[8.19],[14000.0],8.19,14000.0
733,['5.18 힌츠페터 스토리'],['8.28'],['1만명'],[8.28],[10000.0],8.28,10000.0
734,['미시즈 해리스 파리에 가다'],['8.19'],"['9,738명']",[8.19],[9738.0],8.19,9738.0
735,['스타트렉 비욘드'],['8.47'],['115만명'],[8.47],[1150000.0],8.47,1150000.0
736,"['더 호텔', '정직한 후보']","['missing data', '6.94']","['missing data', '89만명']",[6.94],[890000.0],6.94,890000.0
737,['뿌까의 짜장면파티'],['missing data'],['missing data'],0,0,0.0,0.0
738,['스톤월'],['missing data'],['missing data'],0,0,0.0,0.0
739,['고골: 악령과의 전쟁'],['6.15'],['51명'],[6.15],[51.0],6.15,51.0
740,['F20'],['missing data'],['missing data'],0,0,0.0,0.0
741,"['뽀로로 극장판 공룡섬 대모험', '뽀로로 극장판 컴퓨터 왕국 대모험']","['9.22', '8.82']","['82만명', '44만명']","[9.22, 8.82]","[820000.0, 440000.0]",9.02,630000.0
742,['제거자'],['5.08'],['359명'],[5.08],[359.0],5.08,359.0
743,['파티마의 기적'],['9.19'],['1.6만명'],[9.19],[16000.0],9.19,16000.0
744,['리틀드래곤 코코넛'],['8.52'],"['4,275명']",[8.52],[4275.0],8.52,4275.0
745,['패트와 매트: 뚝딱뚝딱 대소동'],['8.29'],"['7,383명']",[8.29],[7383.0],8.29,7383.0
746,['쿠보와 전설의 악기'],['8.57'],['3만명'],[8.57],[30000.0],8.57,30000.0
747,['차이나타운'],['7.57'],['147만명'],[7.57],[1470000.0],7.57,1470000.0
