"","companyNm","mean_audiAcc"
"565","초코필름",2551
"566","캐피탈원(주)",49415.5
"567","커넥트픽쳐스(주)",29900.6666666667
"568","케이필름",9193
"569","콘텐츠웨이브(주)",26376.5
"570","클라이맥스 스튜디오(주)",53050
"571","타임와이즈인베스트먼트(주)",8499
"572","터너코리아 유한회사",7018
"573","트웰브져니(주)",99328
"574","트윈플러스파트너스(주)",12602
"575","파라마운트 픽쳐스",957653.5
"576","파랑필름",705
"577","파이오니아21",39120
"578","파인하우스필름(주)",78316.5
"579","판씨네마(주)",51236.1666666667
"580","팔팔애비뉴(주)",52273
"581","퍼레이드 픽쳐스",798
"582","평등하고 공정한나라 노회찬재단",8167
"583","포레스트",8094
"584","프로젝트 부 ",7865
"585","프로파간다",19564.5714285714
"586","플라잉타이거픽처스",1495
"587","플랜 비 엔터테인먼트",757
"588","플러스엠 엔터테인먼트",529938.617647059
"589","플레이리스트(주)",25408.8
"590","픽사 애니메이션 스튜디오",975818
"591","필름다빈",7338
"592","필름에이픽쳐스",48973.5
"593","필립 스튜디오",7007
"594","한국교육방송공사 EBS",19926.5
"595","한국문화예술위원회",373
"596","한국영상대학교",5173
"597","한국영화아카데미",5700.85714285714
"598","한국예술종합학교 산학협력단",1517
"599","한국콘텐츠진흥원",97564
"600","한국탐사저널리즘센터",66240
"601","해랑사",5725
"602","호두앤유픽쳐스(주)",963002
"603","홀리가든",95860
"604","환타지엔터테인먼트",9680
"605","힘컨텐츠(주)",19926.5
